name_of_space,address,hausprojekt,date_founded,co_housing,hackerspace_tech_meetup,tool_share,woodshop_metalshop_ceramic_studio,women_trans_queer_space_events,arts_space,guest_room,classes_workshops,free_store,coworking,volxkuchen,health_sport_services,agriculture,wagenplatz,child_friendly,silkscreen_studio,medienwerkstatt,sewing_workshop,film_video_collective_resources,kino,archive_reading_room,bike_workshop,cafe_bar,music_venue_parties,date_purchased_contract,website,video,stammtisch,immigrant_initiatives_events,community_youth_center,food_share_coop,barter_spende_free_economy,legal_services,infoshop,language_class,poster_text_distribution,soli_events_infrastructure,open_hours,flomarkt,offenes_plenum,cooperative_business,green_energy_infrastructure,metal_shop,photo_lab,ceramic_studio,photo_url,freiflache,created_at,updated_at,cartodb_georef_status,longitude,latitude,the_geom,cartodb_id,the_geom_webmercator,needs_moderation,printid
Fidicinstr. 41,Fidicinstr. 41 10965 Berlin Kreuzberg,Yes,Besetzt: 18.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.388232,52.487149,0101000020E610000077853E58C6C62A40BAA3FFE55A3E4A40,41,0101000020110F0000CE8D3A2BC3BD3641B8AFAD063D475A41,,68
Fidicinstr. 43,Fidicinstr. 43  10965 Berlin Kreuzberg,Yes,Besetzt: 18.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.38759,52.48732,0101000020E610000066834C3272C62A40E6577380603E4A40,42,0101000020110F000093D4A5B37BBD3641F09857D744475A41,,69
Fischladen,"Rigaerstr. 83, 10247 Berlin",Yes ,,No,No,No,No,No,No,No,Yes,No,No,"Yes, Di-So ab 19:00 (vegane Vokü ab 19:30)",No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.46195,52.51707,0101000020E61000003FC6DCB584EC2A4011DF89592F424A40,91,0101000020110F0000561F496BD1DD36411F997CF2944C5A41,,70
Florida Wedding,"Lüderitzstr. 13, Berlin",No (?),,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, jeden tag, 21:00",No,No,Yes,No,,No ,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.34828,52.55058,0101000020E6100000A7B393C151B22A4074EACA6779464A40,92,0101000020110F0000A77289BB63AC3641BC88410E92525A41,,71
Food Not Bombs c/o M 99,"Manteuffelstr. 99, 10997 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4281,52.501,0101000020E6100000D0D556EC2FDB2A40E3A59BC420404A40,93,0101000020110F0000FA301B4119CF36416295A525B6495A41,,72
Frankenstr. 7,Frankenstr. 7  Berlin Schöneberg 10781,Yes,Besetzt: 10.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.35086,52.49351,0101000020E6100000FAF202ECA3B32A40DE1FEF552B3F4A40,10,0101000020110F0000238DD5EF82AD36412D1D44C25F485A41,,73
FREE e.V.,"Gitschiner Str. 92, 10969 Berlin",No,,No,No,No,No,No,No,No,"Yes (Di: DJ-Workshop, Mi: Beschallungs-Technik, Do: Computer als Musik-Instrument)t",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40116,52.49852,0101000020E61000003EEDF0D764CD2A407233DC80CF3F4A40,94,0101000020110F0000363AA74E62C336417845E8C544495A41,,74
Freudenhaus,Lottum Str. 9  Berlin Prenzlauer Berg,Yes,Besetzt: 1990,No,No,No,No,No,No,No,No,No,No,"Yes, Do, Fr, Sa 21:00-04:00, Do Vokü ab 21:00 ",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4076,52.53074,0101000020E6100000FFB27BF2B0D02A40EB56CF49EF434A40,29,0101000020110F0000FE246B342FC6364131521238064F5A41,,75
Freudenhaus,"Lottumstr. 9 VH, 10119 Berlin",Yes?,,No,No,No,No,No,No,No,No,No,No,"Yes, Do 21:00",No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.407423,52.530673,0101000020E6100000C34659BF99D02A4063EFC517ED434A40,95,0101000020110F0000D44C4F801BC63641C2F86827034F5A41,,76
Fuchsbau,"Thurgauer Str. 66, 13407 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,"Yes, Polit-Café ""Alhambra""  Do 18:00.",No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.35398,52.57143,0101000020E61000004CE0D6DD3CB52A4005FA449E24494A40,96,0101000020110F00005218F040DEAE36411013DC8C4C565A41,,77
